cluster_id,center_Tp,center_Hs,count
0,14.886744489632536,1.0768614751217518,19917
1,18.766029302211024,0.8902334243853953,8054
2,7.865460085313805,2.8012492382693424,1641
3,17.118272651858703,1.203363443635361,10849
4,12.646483666426874,1.1452676779837891,12459
5,9.899731500864586,0.9894821152270861,10987
6,6.889580403719693,1.916357450669085,4409
7,5.991492784711242,0.9481328003120102,10256
8,15.898294643222155,0.7830121170086926,24511
9,15.289039420027327,1.630194834617132,4414
10,13.853197916019028,0.7574827885629304,32246
11,6.528392444101684,1.352101002313032,7782
12,11.988095053847989,0.7356864641774681,15507
13,11.808279487669893,1.7063123685719779,5231
14,14.746672091131014,2.7333848657445095,1229
