cluster_id,center_Tp,center_Hs,count
0,7.078317897660596,1.6808462607085255,17276
1,5.951248597808394,1.1595202347053228,11589
2,10.39524645458102,1.588052893829067,13045
3,10.08118861607175,2.93130022321429,5376
4,8.744859742227565,1.5053270383899808,14509
5,8.468372542254471,1.983629527423257,14495
6,8.389773902463247,2.4253979519415574,9863
7,12.713182160331456,1.0031783966879926,5314
8,8.806745339947621,0.8259621831835815,14914
9,10.45385374205237,2.209570357084628,12266
10,11.565595505617985,4.622629213483143,445
11,10.261613274782558,0.9036188899287255,13891
12,25.0,1.2375000000000003,8
13,13.950982441471329,1.9957357859531835,2392
14,7.691277417361051,1.1319802286067322,12948
