cluster_id,center_Tp,center_Hs,count
0,8.671559044369433,0.9981651877133106,7325
1,14.745288461538426,1.5092307692307687,1248
2,6.99077143735283,1.8748775740190464,9761
3,7.8442950020317035,2.9006095083299543,4922
4,5.283317984139261,1.1420452801227967,7818
5,11.401238317756835,2.648609813084121,2568
6,12.412155863073565,4.190932265112891,1373
7,10.953252536640209,5.515045095828645,1774
8,9.671030482870357,4.085910439708677,3707
9,10.290918824217092,1.2037706832781756,5137
10,9.529000000000488,2.7745494505494497,4550
11,12.801256544502657,7.44975567190227,573
12,8.661634229225292,1.8857553290083309,6474
13,11.97732057416234,1.230321257689681,2926
14,7.0832079543704705,1.0368729767226827,12974
