capacity,fitness,generation
3541.176470588235,inf,14
5517.64705882353,inf,14
3505.8823529411766,inf,14
3682.3529411764707,inf,14
8023.529411764706,inf,14
1000.0,inf,14
3400.0,inf,14
3470.5882352941176,inf,14
1070.5882352941176,inf,14
3400.0,inf,14
3329.4117647058824,inf,14
3682.3529411764707,inf,14
5941.176470588235,inf,14
3541.176470588235,inf,14
3364.705882352941,inf,14
3505.8823529411766,inf,14
1211.764705882353,inf,14
1211.764705882353,inf,14
3258.823529411765,inf,14
6011.764705882353,inf,14
3470.5882352941176,inf,14
1000.0,inf,14
8341.176470588234,inf,15
3541.176470588235,inf,15
3576.470588235294,inf,15
3752.9411764705883,inf,15
2270.5882352941176,inf,15
1070.5882352941176,inf,15
1211.764705882353,inf,15
1211.764705882353,inf,15
1247.0588235294117,inf,15
7988.235294117647,inf,15
1070.5882352941176,inf,15
3329.4117647058824,inf,15
3364.705882352941,inf,15
5658.823529411765,inf,15
3470.5882352941176,inf,15
1211.764705882353,inf,15
3258.823529411765,inf,15
3258.823529411765,inf,15
3258.823529411765,inf,15
3329.4117647058824,inf,15
3400.0,inf,15
1494.1176470588234,inf,15
3788.235294117647,inf,15
3682.3529411764707,inf,15
1141.1764705882354,inf,15
5588.235294117647,inf,15
8023.529411764706,inf,15
3682.3529411764707,inf,15
1141.1764705882354,inf,15
3258.823529411765,inf,15
1423.5294117647059,inf,15
1070.5882352941176,inf,15
7988.235294117647,inf,16
3258.823529411765,inf,16
3682.3529411764707,inf,16
3329.4117647058824,inf,16
3258.823529411765,inf,16
3329.4117647058824,inf,16
3258.823529411765,inf,16
3682.3529411764707,inf,16
1070.5882352941176,inf,16
6011.764705882353,inf,16
3576.470588235294,inf,16
3258.823529411765,inf,16
3294.1176470588234,inf,16
3541.176470588235,inf,16
3541.176470588235,inf,16
2305.8823529411766,inf,16
5729.411764705882,inf,16
1070.5882352941176,inf,16
2270.5882352941176,inf,16
3258.823529411765,inf,16
1070.5882352941176,inf,16
1141.1764705882354,inf,16
1211.764705882353,inf,16
3258.823529411765,inf,16
3682.3529411764707,inf,16
1141.1764705882354,inf,16
3576.470588235294,inf,16
4882.35294117647,inf,16
1494.1176470588234,inf,16
3294.1176470588234,inf,16
3400.0,inf,16
2552.9411764705883,inf,16
3364.705882352941,inf,17
1000.0,inf,17
3294.1176470588234,inf,17
3541.176470588235,inf,17
3329.4117647058824,inf,17
4847.058823529412,inf,17
4564.7058823529405,inf,17
6858.823529411765,inf,17
3258.823529411765,inf,17
3329.4117647058824,inf,17
3400.0,inf,17
1141.1764705882354,inf,17
3541.176470588235,inf,17
3329.4117647058824,inf,17
5729.411764705882,inf,17
1141.1764705882354,inf,17
3329.4117647058824,inf,17
3294.1176470588234,inf,17
2588.235294117647,inf,17
3400.0,inf,17
1000.0,inf,17
3788.235294117647,inf,17
3329.4117647058824,inf,17
1141.1764705882354,inf,17
3470.5882352941176,inf,17
9400.0,inf,17
1211.764705882353,inf,17
3541.176470588235,inf,17
3294.1176470588234,inf,17
3576.470588235294,inf,17
3576.470588235294,inf,17
3294.1176470588234,inf,17
2270.5882352941176,inf,18
3717.6470588235293,inf,18
3470.5882352941176,inf,18
9400.0,inf,18
3576.470588235294,inf,18
3258.823529411765,inf,18
3258.823529411765,inf,18
4847.058823529412,inf,18
3258.823529411765,inf,18
3364.705882352941,inf,18
5729.411764705882,inf,18
1000.0,inf,18
3576.470588235294,inf,18
3329.4117647058824,inf,18
3541.176470588235,inf,18
3541.176470588235,inf,18
