cluster_id,center_Tp,center_Hs,count,buoy
0,5.484266307165848,1.096351757751741,9643,gbma
2,10.638863524791553,4.635898379970542,4074,gbma
3,12.274136752136755,6.713700854700876,1170,gbma
4,11.61747066090159,2.798786287832002,3238,gbma
8,10.010731512855905,1.1453528004783713,10034,gbma
4,7.909695491339941,1.0351198198681137,18653,guam
3,12.16694925742669,1.0023638613861368,8080,guam
6,25.0,1.2375000000000003,8,guam
8,10.305382882883094,3.2330705705705785,3996,guam
2,16.56912770411745,2.574394045126751,4299,hilo
3,15.374832971800412,3.864255965292845,2305,hilo
4,11.665542658155687,2.057409556974286,10338,hilo
1,9.306847104671181,2.551845582414974,16423,hilo
1,7.800863462356432,2.6691705657167186,2351,smca
5,20.168919465804468,0.9917725617159041,2471,smca
8,17.167737568529763,0.9823690678767296,26445,smca
6,6.804800367743487,1.6795692146046843,7614,smca
9,14.269141117876302,1.2730819037077787,18070,smca
3,13.811381949133605,2.1271348188161134,4443,smca
8,12.214276433327923,1.7381354555789357,6157,sjpr
