cluster_id,center_Tp,center_Hs,count
0,13.23112333956173,1.7707093836756636,2
1,10.234793700202095,1.4757467428690545,2
2,22.584459732902232,1.1146362808579522,2
3,13.81664042372318,0.8000118789813867,2
4,10.638863524791551,4.635898379970542,1
5,16.56912770411745,2.574394045126751,1
6,9.191129829212345,2.5349366630610004,4
7,9.976561213254367,1.001865613432608,5
8,5.855232218554694,1.0779023831039394,4
9,13.593014631352435,1.1922186822432743,4
10,12.833294612926467,2.063874210861717,3
11,9.84231198249586,1.681761551332142,1
12,10.284139549631792,3.315881129382017,2
13,13.011144410022865,2.732203169230346,3
14,12.274136752136759,6.713700854700875,1
15,7.900205063645171,1.91849027165957,5
16,17.167737568529763,0.9823690678767296,1
17,7.344880379199283,1.3107230273390404,5
18,8.939529998687709,3.193034002888281,1
19,15.374832971800414,3.8642559652928448,1
