cluster_id,center_Tp,center_Hs,count
0,13.434901445466624,0.9640473061760652,3805
1,10.62883522727279,2.9813920454545335,704
2,5.363865735526043,0.9195239167982134,13317
3,7.638869618445291,1.7629055294836995,4901
4,8.309130115617563,0.8428243714443335,10898
5,12.949423393739524,2.0215815485996957,2428
6,14.180387931034502,2.6014008620689557,928
7,12.675480899485217,1.45919804930914,3691
8,9.757027339237563,2.156295725837536,2597
9,14.300813008130056,3.6556910569105643,246
10,16.28246205733577,1.2515177065767278,1186
11,10.81502621544309,0.9934818875119648,8392
12,6.495527853525485,1.2784729255940461,12835
13,9.10562390158114,1.2740224077329678,9104
14,10.595670143672187,1.6188939185199298,5081
