cluster_id,center_Tp,center_Hs,count
0,13.20792142857146,1.6280678571428193,5600
1,12.852409638554368,2.738234316576537,4814
2,10.845928125321297,2.0947517149585737,9767
3,16.039749447310477,1.8260611643330902,2714
4,7.291986411127634,1.4531997948849498,15601
5,14.737980972515874,3.209760394644131,2838
6,8.281600846561663,1.9107564021158865,23625
7,13.38035806012988,2.194585284786263,6619
8,8.619972012314943,1.4713490064371997,14292
9,10.607190324297232,1.526481481481465,11286
10,9.631169571413174,2.8795527786914583,9123
11,10.515765692640581,3.6418235930736604,3696
12,8.888834861166798,2.3284303175236656,15054
13,16.751158872077227,2.636100412654729,2908
14,15.863819819819824,4.249828828828825,1110
