hinge2joint,piston_area,accum_volume,accum_P0,fitness,generation
1.6752941176470588,0.3223529411764706,3.2046666666666663,4.08235294117647,3.442998060147421,0
3.0823529411764707,0.31176470588235294,5.741607843137254,5.4,4.047774134881734,0
0.7576470588235293,0.9117647058823529,3.9328627450980393,5.6,3.963326396824207,0
1.2164705882352942,0.9470588235294117,5.3422745098039215,5.870588235294118,3.2990330253394577,0
2.547058823529412,0.26941176470588235,4.895960784313726,4.2,3.6784529142989126,0
1.4611764705882353,0.9682352941176471,5.177843137254902,5.0588235294117645,2.299914912109564,0
3.7399999999999998,0.22000000000000003,4.919450980392157,3.541176470588235,3.824674736967833,0
3.4952941176470587,0.1811764705882353,4.238235294117647,5.847058823529412,3.487474739194858,0
1.2623529411764707,0.1423529411764706,4.332196078431372,3.176470588235294,4.5915325596238,0
1.6905882352941175,0.4882352941176471,4.848980392156863,5.811764705882353,4.0729249414566935,0
1.507058823529412,0.9400000000000001,2.4999607843137257,5.035294117647059,2.4051740094177174,0
3.5258823529411765,0.10705882352941178,0.6677254901960784,4.5058823529411764,inf,0
1.9811764705882353,0.7705882352941176,1.8422352941176472,3.1882352941176473,inf,0
1.507058823529412,0.9400000000000001,2.92278431372549,5.035294117647059,2.24335274860142,0
1.4305882352941177,0.9752941176470589,4.28521568627451,3.235294117647059,2.426823797833155,0
1.6905882352941175,0.1423529411764706,4.332196078431372,3.176470588235294,3.8298477182241033,0
2.914117647058824,0.38235294117647056,5.48321568627451,3.5058823529411764,3.9907139952211406,0
1.8588235294117648,0.5305882352941177,1.8187450980392157,4.141176470588235,4.351074999214603,0
3.0823529411764707,0.29411764705882354,0.197921568627451,4.08235294117647,inf,0
3.5105882352941173,0.42470588235294116,4.050313725490196,3.5058823529411764,2.9536295823453194,0
0.20705882352941177,0.16705882352941176,0.2683921568627451,3.376470588235294,11329.540396583054,0
0.40588235294117647,0.11411764705882353,1.3019607843137255,3.3294117647058825,226.65513905671236,0
