width,thickness,wec_mass,fitness,generation
27.80392156862745,3.980392156862745,175294.11764705883,[[0.20309161]],0
28.58823529411765,4.231372549019608,387058.82352941175,[[0.19985252]],0
27.96078431372549,4.231372549019608,387058.82352941175,[[0.19811125]],0
28.58823529411765,4.105882352941176,203529.41176470587,[[0.19842732]],0
20.352941176470587,4.3882352941176475,76470.58823529413,[[0.12066916]],0
25.450980392156865,2.9607843137254903,274117.6470588235,[[0.30210599]],0
20.666666666666664,3.76078431372549,372941.17647058825,[[0.21457334]],0
27.80392156862745,3.980392156862745,175294.11764705883,[[0.20309161]],0
13.843137254901961,3.619607843137255,258235.29411764705,[[0.16261638]],0
17.372549019607842,4.545098039215686,57058.82352941176,[[0.07544204]],0
27.41176470588235,3.541176470588235,194705.88235294117,[[0.23868276]],0
13.450980392156863,5.0,459411.76470588235,[[0.05058421]],0
10.392156862745098,2.9607843137254903,261764.70588235295,[[0.2467443]],0
20.11764705882353,4.764705882352941,210588.23529411765,[[0.1048383]],0
14.156862745098039,3.1333333333333333,120588.23529411765,[[0.20196276]],0
17.294117647058822,4.105882352941176,492941.17647058825,[[0.17680816]],0
27.80392156862745,4.905882352941177,115294.11764705883,[[0.1450624]],0
24.666666666666664,4.011764705882353,323529.4117647059,[[0.20012689]],0
18.941176470588236,3.792156862745098,207058.82352941178,[[0.17823711]],0
27.254901960784313,4.968627450980392,392352.9411764706,[[0.15126672]],0
10.862745098039216,3.980392156862745,198235.29411764705,[[0.0473044]],0
27.647058823529413,4.623529411764705,344705.8823529412,[[0.16981427]],0
19.96078431372549,4.137254901960784,205294.11764705883,[[0.15164613]],0
19.88235294117647,4.403921568627451,411764.70588235295,[[0.15089094]],0
14.862745098039216,4.137254901960784,185882.35294117648,[[0.09318656]],0
10.705882352941176,4.623529411764705,367647.0588235294,[[0.03184404]],0
22.941176470588236,4.12156862745098,111764.70588235295,[[0.16489947]],0
27.80392156862745,3.9176470588235293,203529.41176470587,[[0.20936847]],0
10.07843137254902,4.764705882352941,205294.11764705883,[[0.00728017]],0
12.274509803921568,3.980392156862745,480588.23529411765,[[0.15813126]],0
20.666666666666664,3.76078431372549,369411.76470588235,[[0.21411551]],0
12.588235294117647,2.5058823529411764,238823.5294117647,[[0.37449315]],0
14.862745098039216,4.137254901960784,185882.35294117648,[[0.09318656]],0
19.88235294117647,4.403921568627451,411764.70588235295,[[0.15089094]],0
19.88235294117647,4.545098039215686,346470.5882352941,[[0.13186216]],0
28.58823529411765,4.2,330588.23529411765,[[0.19894343]],0
13.450980392156863,3.980392156862745,459411.76470588235,[[0.16012289]],0
14.156862745098039,3.1333333333333333,106470.58823529413,[[0.19739818]],0
21.058823529411764,4.090196078431372,394117.64705882355,[[0.18477345]],0
18.941176470588236,3.8705882352941177,291764.70588235295,[[0.18207082]],0
14.862745098039216,4.921568627450981,214117.64705882352,[[0.04049236]],0
27.254901960784313,4.137254901960784,166470.5882352941,[[0.18943605]],0
11.176470588235293,3.6509803921568627,425882.35294117645,[[0.1916931]],0
23.019607843137255,3.9019607843137254,58823.529411764706,[[0.17866883]],0
20.431372549019606,2.9607843137254903,274117.6470588235,[[0.30441494]],0
28.58823529411765,4.231372549019608,387058.82352941175,[[0.19985252]],0
27.647058823529413,4.764705882352941,175294.11764705883,[[0.15382854]],0
10.235294117647058,3.980392156862745,205294.11764705883,[[0.03840738]],0
14.862745098039216,4.419607843137255,411764.70588235295,[[0.10733848]],0
21.529411764705884,3.635294117647059,196470.58823529413,[[0.21200425]],0
21.058823529411764,4.0588235294117645,281176.4705882353,[[0.17521823]],0
